x1,x2
22.055,31.2722
69.0596,91.1589
98.2114,60.0043
7.34412,40.9462
20.5714,17.0589
78.8925,61.9786
4.90481,31.0725
26.5798,4.51426
39.143,5.68881
38.905,7.13517
29.2729,19.4475
2.84906,79.9931
23.4461,7.17242
94.6977,5.31398
94.4305,94.7122
80.7376,25.8295
37.2281,12.9223
20.3002,4.77036
18.1665,21.402
57.4567,87.5724
94.0103,20.7373
98.4564,61.4495
77.7418,85.5958
16.2784,39.7198
19.1664,35.3755
19.866,25.0124
39.3415,87.857
9.1135,73.472
16.535,45.9843
71.3464,37.9004
38.4172,5.20863
80.2038,4.86698
92.9114,65.8002
41.8367,20.863
31.4602,24.9844
22.2611,16.5729
79.6864,90.6514
91.1717,45.5634
94.6307,77.6033
92.7711,7.72826
35.769,8.82947
95.7442,38.5645
55.9766,74.8049
5.38033,27.9388
37.7176,15.5718
92.0977,28.9347
8.27595,26.727
82.926,31.8484
8.55766,43.3529
79.3954,70.1701
94.5033,24.8325
86.8902,73.0436
86.0841,39.3106
15.7726,30.3234
90.4401,42.6736
77.949,71.3784
85.0953,29.9154
11.061,79.7324
25.3837,9.33642
83.1792,36.667
89.4227,21.4713
9.51452,39.4951
88.6235,90.6298
59.3571,74.3148
51.4251,90.4785
8.01811,19.9807
57.8764,61.3063
30.9474,12.6965
93.7408,9.17171
90.6624,34.7213
93.1675,71.8237
73.7933,50.9065
34.3209,9.31489
37.2107,5.69347
51.7022,5.17662
84.7978,6.78362
51.7196,12.4055
46.2758,58.6837
6.07237,14.4432
25.3965,14.6376
77.1278,31.3804
10.6722,18.7695
64.6035,46.3504
11.7117,49.1284
60.5462,66.6011
39.8182,85.2053
90.014,66.2891
54.7351,60.832
78.0852,27.7636
77.9281,62.7038
15.4187,83.8183
15.6777,91.0466
19.309,94.4113
25.8383,97.5281
34.7737,96.7837
22.6447,75.3671
22.3845,67.6569
25.2557,56.3247
28.6221,50.0515
38.5098,43.5217
47.6745,37.7164
52.73,30.7163
95.3868,90.6135
95.3816,88.4449
95.374,85.3123
96.5683,79.7673
97.5264,76.3915
98.4838,72.7747
98.4791,70.847
98.4698,66.9916
95.09,67.7227
94.3548,63.3871
95.0678,58.5661
96.5078,54.7072
97.2202,49.6452
96.9693,45.7904
95.9904,40.4916
95.9781,35.4314
95.9741,33.7446
96.708,37.5983
95.7552,43.1428
95.5259,48.2035
95.0609,55.6745
94.8414,64.8317
93.1855,79.2935
91.5163,88.2132
89.5909,91.1094
89.8301,90.145
95.3973,94.9508
88.6404,97.6177
88.1527,95.6912
86.6889,89.6706
91.4726,70.141
93.3764,58.3292
95.5172,44.5891
96.6958,32.5381
95.9485,23.1423
94.9561,12.3013
95.6621,4.58876
97.584,0.246783
98.5507,0.485417
96.1626,11.8165
95.4427,13.7459
94.9829,23.3856
