x1,x2,y
25.3965,14.6376,1
77.1278,31.3804,0
10.6722,18.7695,1
64.6035,46.3504,0
11.7117,49.1284,1
60.5462,66.6011,0
39.8182,85.2053,0
90.014,66.2891,0
54.7351,60.832,0
78.0852,27.7636,0
77.9281,62.7038,0
15.4187,83.8183,1
15.6777,91.0466,1
19.309,94.4113,1
25.8383,97.5281,1
34.7737,96.7837,1
22.6447,75.3671,1
22.3845,67.6569,1
25.2557,56.3247,1
28.6221,50.0515,1
38.5098,43.5217,1
47.6745,37.7164,1
52.73,30.7163,1
95.3868,90.6135,0
95.3816,88.4449,0
95.374,85.3123,0
96.5683,79.7673,0
97.5264,76.3915,0
98.4838,72.7747,0
98.4791,70.847,0
98.4698,66.9916,0
95.09,67.7227,0
94.3548,63.3871,0
95.0678,58.5661,0
96.5078,54.7072,0
97.2202,49.6452,0
96.9693,45.7904,0
95.9904,40.4916,0
95.9781,35.4314,0
95.9741,33.7446,0
96.708,37.5983,0
95.7552,43.1428,0
95.5259,48.2035,0
95.0609,55.6745,0
94.8414,64.8317,0
93.1855,79.2935,0
91.5163,88.2132,0
89.5909,91.1094,0
89.8301,90.145,0
95.3973,94.9508,0
88.6404,97.6177,0
88.1527,95.6912,0
86.6889,89.6706,0
91.4726,70.141,0
93.3764,58.3292,0
95.5172,44.5891,0
96.6958,32.5381,0
95.9485,23.1423,0
94.9561,12.3013,0
95.6621,4.58876,0
97.584,0.246783,0
98.5507,0.485417,0
96.1626,11.8165,0
95.4427,13.7459,0
94.9829,23.3856,0
